insee,nom,surf_dep,total,s150,s50,s20,s10
01001,L'Abergement-Clémenciat,1564,944,378,63,8,1
01002,L'Abergement-de-Varey,908,139,63,13,1,0
01004,Ambérieu-en-Bugey,2445,172,71,10,1,0
01005,Ambérieux-en-Dombes,1599,959,207,36,6,1
01006,Ambléon,596,132,33,6,1,0
01007,Ambronay,3358,1588,418,73,11,2
01008,Ambutrix,521,307,63,13,1,0
01009,Andert-et-Condon,700,133,46,9,1,0
01010,Anglefort,2957,728,203,58,10,1
01011,Apremont,1495,386,91,23,4,1
01012,Aranc,2165,477,111,24,4,1
01013,Arandas,1403,558,66,13,2,0
01014,Arbent,2362,92,63,13,2,0
01015,Arboys-en-Bugey,2251,627,173,28,4,0
01016,Arbigny,1746,1082,168,39,6,1
01017,Argis,783,138,37,5,0,0
01019,Armix,686,142,16,2,0,0
01021,Ars-sur-Formans,554,382,91,19,2,0
01022,Artemare,328,66,45,13,2,0
01023,Asnières-sur-Saône,468,362,36,7,1,0
01024,Attignat,1888,1061,406,80,10,1
01025,Bâgé-Dommartin,5694,3744,1721,333,46,8
01026,Bâgé-le-Châtel,87,22,20,7,1,0
01027,Balan,1799,740,185,35,5,1
01028,Baneins,903,649,234,37,4,0
01029,Beaupont,1409,920,410,68,7,1
01030,Beauregard,96,20,6,0,0,0
01031,Bellignat,778,9,2,1,0,0
01032,Béligneux,1333,619,111,26,5,0
01033,Valserhône,6268,1468,580,120,20,4
01034,Belley,2248,786,496,149,25,5
01035,Belleydoux,1773,301,183,40,5,1
01036,Valromey-sur-Séran,5684,2241,613,119,20,4
01037,Bénonces,1545,446,89,20,4,1
01038,Bény,1823,1167,494,87,10,1
01039,Béon,1030,93,19,6,0,0
01040,Béréziat,1123,802,270,56,7,1
01041,Bettant,342,33,14,4,0,0
01042,Bey,277,200,93,17,2,0
01043,Beynost,1066,525,144,30,5,1
01044,Billiat,1377,856,164,24,3,1
01045,Birieux,1577,942,173,23,3,0
01046,Biziat,1157,876,332,66,8,1
01047,Blyes,943,457,89,18,3,1
01049,La Boisse,940,397,73,14,2,0
01050,Boissey,944,668,222,42,6,1
01051,Bolozon,491,84,26,5,0,0
01052,Bouligneux,2618,1605,321,44,5,1
01053,Bourg-en-Bresse,2389,295,196,41,6,1
01054,Bourg-Saint-Christophe,899,638,59,10,1,0
01056,Boyeux-Saint-Jérôme,1689,276,60,14,2,0
01057,Boz,766,377,51,11,1,0
01058,Brégnier-Cordon,1134,226,82,19,3,0
01060,Brénod,2393,637,197,36,5,1
01061,Brens,685,308,175,50,7,1
01062,Bressolles,763,469,71,15,2,0
01063,Brion,447,96,30,5,0,0
01064,Briord,1226,285,139,34,5,1
01065,Buellas,1024,628,239,52,6,1
01066,La Burbanche,1082,138,32,7,1,0
01067,Ceignes,1021,251,28,5,1,0
01068,Cerdon,1214,96,25,4,0,0
01069,Certines,1593,694,206,47,7,1
01071,Cessy,636,255,115,25,3,0
01072,Ceyzériat,925,145,60,11,1,0
01073,Ceyzérieu,1986,602,175,32,4,0
01074,Chalamont,3289,1894,518,84,12,2
01075,Chaleins,1706,1415,376,68,11,2
01077,Challes-la-Montagne,777,309,59,14,2,0
01078,Challex,868,363,132,29,4,0
01079,Champagne-en-Valromey,1816,1253,262,60,12,3
01080,Champdor-Corcelles,3150,981,239,52,8,1
01081,Champfromier,3183,211,111,27,4,0
01082,Chanay,1823,407,142,28,4,1
01083,Chaneins,1270,862,250,46,6,1
01084,Chanoz-Châtenay,1331,914,474,87,11,2
01085,La Chapelle-du-Châtelard,1369,969,273,39,5,1
01087,Charix,1849,284,106,21,3,0
01088,Charnoz-sur-Ain,662,367,91,22,4,0
01089,Château-Gaillard,1596,955,214,40,6,1
01090,Châtenay,1517,820,248,37,4,1
01092,Châtillon-la-Palud,1401,359,105,19,3,0
01093,Châtillon-sur-Chalaronne,1805,950,529,94,11,2
01094,Chavannes-sur-Reyssouze,1651,1179,503,108,15,3
01095,Nivigne et Suran,3125,1241,322,57,9,1
01096,Chaveyriat,1671,1153,562,108,15,3
01098,Chazey-Bons,1549,411,194,41,6,1
01099,Chazey-sur-Ain,2179,1397,177,30,4,0
01100,Cheignieu-la-Balme,599,95,35,5,0,0
01101,Chevillard,669,198,55,12,2,0
01102,Chevroux,1718,1218,447,88,12,2
01103,Chevry,581,252,111,25,3,0
01104,Chézery-Forens,4631,811,379,77,12,2
01105,Civrieux,2013,1417,372,69,10,1
01106,Cize,453,155,39,9,1,0
01107,Cleyzieu,757,263,26,4,0,0
01108,Coligny,1685,706,335,58,6,1
01109,Collonges,1622,463,212,47,7,1
01110,Colomieu,594,175,43,8,1,0
01111,Conand,1535,270,71,12,2,0
01112,Condamine,458,128,43,9,1,0
01113,Condeissiat,2166,1462,615,92,10,1
01114,Confort,1130,428,111,20,2,0
01115,Confrançon,1818,1272,524,102,13,2
01116,Contrevoz,1413,453,128,25,4,1
01117,Conzieu,716,151,33,5,0,0
01118,Corbonod,3196,645,373,89,14,3
01121,Corlier,542,178,31,7,1,0
01123,Cormoranche-sur-Saône,992,310,93,23,3,0
01124,Cormoz,1960,1329,466,74,8,1
01125,Corveissiat,2295,777,142,30,4,0
01127,Courmangoux,1489,721,145,20,2,0
01128,Courtes,899,646,249,44,5,0
01129,Crans,1322,514,141,23,3,0
01130,Bresse-Vallons,2613,1575,691,129,16,2
01133,Cressin-Rochefort,791,187,60,14,2,0
01134,Crottet,1222,628,184,36,5,1
01135,Crozet,2714,1143,264,51,8,2
01136,Cruzilles-lès-Mépillat,1189,867,294,54,8,1
01138,Culoz,1925,422,93,17,2,0
01139,Curciat-Dongalon,2393,1955,613,98,13,2
01140,Curtafond,1271,787,390,73,9,1
01141,Cuzieu,488,192,117,27,4,0
01142,Dagneux,683,241,90,26,6,1
01143,Divonne-les-Bains,3398,712,299,70,11,2
01145,Dompierre-sur-Veyle,2912,1416,495,78,10,1
01146,Dompierre-sur-Chalaronne,475,345,107,25,4,0
01147,Domsure,1529,1005,428,72,8,1
01148,Dortan,1889,367,136,23,3,0
01149,Douvres,525,175,32,8,1,0
01150,Drom,784,314,52,15,3,0
01151,Druillat,2082,845,256,49,6,1
01152,Échallon,2815,349,196,47,6,1
01153,Échenevex,1642,795,189,37,4,0
